ID,Full Name,Email,DOS Email,Role,DOS,VP,EVP,Theater,Division,District,Hire Date,Term Date,Enterprise Integrations: Positioning and Use Cases,Prospecting 101,ROI at Sprinklr,SSC Additions,Sprinklr Advertising Cloud: Messaging,Sprinklr Care Cloud: Messaging,Sprinklr Commerce Cloud: Messaging,Sprinklr Marketing Cloud: Messaging,Sprinklr Research Cloud: Messaging,Stories and Case Studies,Sum,isComplete
xOH6V,Shirl Gilstrap,Shirl.Gilstrap@gmail.com,Katerine.Kroenke@gmail.com,Rep,Katerine Kroenke,Belle Chupp,Gavin Hairston,Americas,Canada,Canada,10/25/16,,0,1,0,1,1,1,0,1,1,0,6,0
xhNKJ,Karleen Marmon,Karleen.Marmon@gmail.com,Katerine.Kroenke@gmail.com,Rep,Katerine Kroenke,Belle Chupp,Gavin Hairston,Americas,Canada,Canada,12/5/16,,1,0,1,0,0,0,1,0,1,0,4,0
xEKCg,Jonah Panek,Jonah.Panek@gmail.com,Katerine.Kroenke@gmail.com,Rep,Katerine Kroenke,Belle Chupp,Gavin Hairston,Americas,Canada,Canada,12/5/16,,0,1,0,1,1,1,0,1,0,0,5,0
x7uxV,Lovella Savedra,Lovella.Savedra@gmail.com,Katerine.Kroenke@gmail.com,Rep,Katerine Kroenke,Belle Chupp,Gavin Hairston,Americas,Canada,Canada,2/6/17,,1,0,0,0,1,0,0,0,0,1,3,0
xiDK6,Eugena Klem,Eugena.Klem@gmail.com,Gayle.Eves@gmail.com,Rep,Gayle Eves,Sondra Cowans,Gavin Hairston,Americas,Central,Chicago,3/7/16,,1,1,1,1,0,0,0,1,1,0,6,0
xdzsC,Golda Tatom,Golda.Tatom@gmail.com,Gayle.Eves@gmail.com,Rep,Gayle Eves,Sondra Cowans,Gavin Hairston,Americas,Central,Chicago,4/1/14,,1,1,1,0,0,0,1,1,0,0,5,0
xK5EL,Sherrill Rehbein,Sherrill.Rehbein@gmail.com,Gayle.Eves@gmail.com,Rep,Gayle Eves,Sondra Cowans,Gavin Hairston,Americas,Central,Chicago,1/23/17,,0,0,1,1,1,1,0,0,1,1,6,0
xWkHK,Alton Whicker,Alton.Whicker@gmail.com,Gayle.Eves@gmail.com,Rep,Gayle Eves,Sondra Cowans,Gavin Hairston,Americas,Central,Chicago,1/23/17,,0,0,0,0,1,0,0,0,1,0,2,0
xXtLE,Edie Donegan,Edie.Donegan@gmail.com,Gayle.Eves@gmail.com,Rep,Gayle Eves,Sondra Cowans,Gavin Hairston,Americas,Central,Chicago,1/17/17,,1,1,1,0,0,1,0,1,1,1,7,0
x2tAB,Houston Carbaugh,Houston.Carbaugh@gmail.com,Gayle.Eves@gmail.com,Rep,Gayle Eves,Sondra Cowans,Gavin Hairston,Americas,Central,Chicago,7/10/17,,0,0,1,0,0,1,1,1,0,0,4,0
x7Y9H,Gaynelle Jeanbart,Gaynelle.Jeanbart@gmail.com,Lance.Gremillion@gmail.com,Rep,Lance Gremillion,Sondra Cowans,Gavin Hairston,Americas,Central,Great Lakes,3/7/16,,1,0,0,1,1,0,0,1,0,0,4,0
xcjnQ,Conception Buesing,Conception.Buesing@gmail.com,Lance.Gremillion@gmail.com,Rep,Lance Gremillion,Sondra Cowans,Gavin Hairston,Americas,Central,Great Lakes,6/8/15,,0,1,0,1,0,1,1,0,0,1,5,0
xgMGI,Cori Agosto,Cori.Agosto@gmail.com,Lance.Gremillion@gmail.com,Rep,Lance Gremillion,Sondra Cowans,Gavin Hairston,Americas,Central,Great Lakes,2/6/17,,0,1,1,1,0,0,0,1,0,0,4,0
xh9xf,Johanne Epps,Johanne.Epps@gmail.com,Lance.Gremillion@gmail.com,Rep,Lance Gremillion,Sondra Cowans,Gavin Hairston,Americas,Central,Great Lakes,4/18/17,,0,0,0,0,1,1,1,1,1,0,5,0
xi8wM,Jayne Benefield,Jayne.Benefield@gmail.com,Demetrius.Simmers@gmail.com,Rep,Demetrius Simmers,Sondra Cowans,Gavin Hairston,Americas,Central,North Central,6/5/17,,0,1,1,1,0,1,1,1,1,0,7,0
xcV3n,Star Colin,Star.Colin@gmail.com,Demetrius.Simmers@gmail.com,Rep,Demetrius Simmers,Sondra Cowans,Gavin Hairston,Americas,Central,North Central,1/23/17,,1,0,1,1,0,0,1,0,0,0,4,0
xDLDZ,Ryan Burleigh,Ryan.Burleigh@gmail.com,Demetrius.Simmers@gmail.com,Rep,Demetrius Simmers,Sondra Cowans,Gavin Hairston,Americas,Central,North Central,2/6/17,,1,0,0,1,0,0,1,1,1,0,5,0
x5ysX,Debby Pinckard,Debby.Pinckard@gmail.com,Demetrius.Simmers@gmail.com,Rep,Demetrius Simmers,Sondra Cowans,Gavin Hairston,Americas,Central,North Central,3/6/17,,1,1,1,1,0,1,1,1,1,0,8,0
xIusq,Lincoln Swick,Lincoln.Swick@gmail.com,Donn.Plaster@gmail.com,Rep,Donn Plaster,Norah Elsey,Gavin Hairston,Americas,East,Northeast,10/25/16,,0,0,0,0,0,0,0,0,1,1,2,0
xVmmh,Cesar Ohair,Cesar.Ohair@gmail.com,Donn.Plaster@gmail.com,Rep,Donn Plaster,Norah Elsey,Gavin Hairston,Americas,East,Northeast,12/5/16,,0,0,0,0,0,0,0,0,0,1,1,0
xujCN,Richie Gallion,Richie.Gallion@gmail.com,Augustine.Taft@gmail.com,Rep,Augustine Taft,Norah Elsey,Gavin Hairston,Americas,East,NYC_1,9/29/16,,0,0,0,0,0,0,0,0,0,0,0,0
xwwld,Ciera Alberico,Ciera.Alberico@gmail.com,Augustine.Taft@gmail.com,Rep,Augustine Taft,Norah Elsey,Gavin Hairston,Americas,East,NYC_1,12/5/16,,1,1,1,1,1,1,1,1,1,1,10,1
x8wRB,Many Gulledge,Many.Gulledge@gmail.com,Augustine.Taft@gmail.com,Rep,Augustine Taft,Norah Elsey,Gavin Hairston,Americas,East,NYC_1,1/12/17,,1,0,0,0,0,0,0,0,0,0,1,0
xDY92,Ernie Haley,Ernie.Haley@gmail.com,Augustine.Taft@gmail.com,Rep,Augustine Taft,Norah Elsey,Gavin Hairston,Americas,East,NYC_1,12/5/16,,0,0,0,0,0,0,0,0,0,0,0,0
x0pSY,Alonso Hirsh,Alonso.Hirsh@gmail.com,Augustine.Taft@gmail.com,Rep,Augustine Taft,Norah Elsey,Gavin Hairston,Americas,East,NYC_1,7/1/17,,1,1,1,1,1,1,0,0,0,0,6,0
xKJrh,Lexie Bierman,Lexie.Bierman@gmail.com,Carina.Bresler@gmail.com,Rep,Carina Bresler,Norah Elsey,Gavin Hairston,Americas,East,NYC_2,10/3/16,,1,1,1,1,1,1,1,0,0,0,7,0
xPfcu,Salley Harstad,Salley.Harstad@gmail.com,Carina.Bresler@gmail.com,Rep,Carina Bresler,Norah Elsey,Gavin Hairston,Americas,East,NYC_2,5/11/15,,1,1,1,1,1,0,0,0,0,0,5,0
